run_id,num_alts,num_choosers,sample_rate,tmsm_mean_err,tmsm_mean_abs_pct_err,tmsm_rmse,tmsmc_mean_err,tmsmc_mean_abs_pct_err,tmsmc_rmse,cf_mean_err,cf_mean_abs_pct_err,cf_rmse,ppgm_mean_err,ppgm_mean_abs_pct_err,ppgm_rmse,pcpgm_mean_err,pcpgm_mean_abs_pct_err,pcpgm_rmse,alt_shares_mean_err,alt_shares_mape,alt_shares_rmse
1,200,750,0.1,-0.14915587883194287,0.70596487814188,0.1653054351893983,-0.15871039674679438,0.7506104237238566,0.16495250278929904,-0.0020131767640511194,1.048321017714838,0.07795466392476202,0.3793533432980378,2.3783826376828885,0.4016105578069488,0.0312866725474596,0.4261436065236729,0.08561367032000496,-0.464,17.987983978638184,0.6901915998072162
1,200,750,0.2,-0.12123088258504867,0.5681537874688705,0.1428619273724664,-0.12767283714811006,0.5974865060696999,0.13705969788866512,0.002811113824446996,0.6129175591265085,0.10393060840089226,0.2502866757909457,1.5690736257731914,0.26847291159074294,0.014453338424364725,0.2957623111307622,0.058356950215488125,-0.46599999999999997,16.988651535380512,0.6910230740640206
1,200,750,0.3,-0.09996193534135818,0.4678025560329358,0.12512594350995754,-0.10456692319115003,0.48908915197787184,0.11606454731124367,0.00441417117913564,0.43388504211139906,0.1210132995265441,0.17146446482340494,1.072637553176946,0.18679203184469606,0.007908899823824565,0.22524131540871334,0.04428356014469428,-0.468,15.98931909212283,0.6918612577677695
1,200,750,0.4,-0.07882779622077941,0.36711732044816014,0.10864823246794356,-0.08394814399878184,0.3941090809062589,0.09839722295058803,0.0024448306560516356,0.35258230203463853,0.1366713726894098,0.11678667440017064,0.7303120434441501,0.13054131618044057,0.002686672215660413,0.17578305132604313,0.03473398937950614,-0.486,6.995327102803739,0.6997027940490163
1,200,750,0.5,-0.06445590963959694,0.29589322764923176,0.09703490774033748,-0.0669362153907617,0.32238968925674755,0.08523134381200842,0.007544977426528931,0.28392417117559426,0.14005275824916008,0.0777133289972941,0.4897978436946869,0.08912518866120636,0.0005933317144711812,0.13870515036086242,0.02758683138898465,-0.494,2.9979973297730313,0.7033570296166173
1,200,750,0.6,-0.049441675245761874,0.22648466826726993,0.08392061773358374,-0.05267304128408432,0.26045599958011495,0.0735752143218002,0.003678271532058716,0.2174133658319479,0.13564316425332537,0.048775569409132004,0.3094522240978503,0.058150487481086977,-0.0004577666521072388,0.11066395123693214,0.021631938721159587,-0.496,1.9986648865153538,0.7042865578410222
1,200,750,0.7,-0.03510923178990682,0.1613813842460513,0.06949589921573497,-0.03762915320197741,0.1984552528438071,0.06091321904339383,0.003952903548876444,0.16146601568019833,0.12353391302662037,0.029305720220009487,0.19079321114304995,0.036266206065447316,-0.000703802247842153,0.08650777365143109,0.01714005838544414,-0.499,0.49966622162883845,0.7056927250738966
1,200,750,0.8,-0.022284939815600712,0.10291066161046425,0.05470871333065415,-0.02515837793548902,0.14546879793085585,0.04797651748803053,-0.0010117634137471517,0.11885694119306087,0.1075107873840568,0.016211671690146128,0.11278613994684487,0.021632396387983373,-0.0010466612776120505,0.06529060377056406,0.01295553188708374,-0.5,1.0,0.7061646015232175
1,200,750,0.9,-0.011101877480745316,0.04846587749322256,0.0403645134183864,-0.01254649571577708,0.08827118042840933,0.03593702632509509,-0.0009729573726654053,0.07238544089432496,0.07872309078341126,0.007338525682687759,0.06074400404975243,0.01197513270211108,-0.0006244370043277741,0.04440578551952632,0.008983545807913594,-0.5,1.0,0.7061646015232175
1,200,750,1.0,0.0,0.0,0.0,8.145968119303386e-10,3.564178761431928e-08,1.4711202361928041e-08,4.529953002929687e-09,4.490216681081923e-08,7.759294715161885e-08,0.0,0.0,0.0,0.0,0.0,0.0,-0.5,1.0,0.7061646015232175
1,2000,7500,0.1,-0.10968811702082555,0.74856259089758,0.11798089661400649,-0.11707720033774774,0.7995860037406286,0.11924469791696725,-0.00023497281620899835,0.45576411574434605,0.054836062228411045,0.35115131666560967,2.603829323597749,0.36038534500822944,0.015777990509569646,0.2962665096285728,0.04761702619646271,-0.5,1.0,0.6913569394876845
1,2000,7500,0.2,-0.08852193432301284,0.6028432660410802,0.10181934426042935,-0.09616617822845777,0.6547275935507069,0.10104910323846329,-0.0006922039131323496,0.317969192199733,0.07344049093974972,0.2270656526486079,1.6837216622591018,0.23430247602120494,0.007696324109037717,0.2236907339115982,0.03582450593123692,-0.5,1.0,0.6913569394876845
1,2000,7500,0.3,-0.07291866051157316,0.4949213862873614,0.08985750761412814,-0.07950470587362846,0.5396913526560102,0.08749898558538587,0.00018407975633939107,0.24942741848403724,0.08406358978485468,0.15754266776939232,1.1677694751660028,0.16337359191652237,0.004687108545005322,0.18233691320124393,0.02911852231767114,-0.5,1.0,0.6913569394876845
1,2000,7500,0.4,-0.05888369327733914,0.39903345816868047,0.07889906037817203,-0.06459591566522917,0.4397397731481624,0.07571976359814533,-0.00016120887398719789,0.20125945434072007,0.08932585223571239,0.11219965494573117,0.8315605165163676,0.11686993197577901,0.003206491049627463,0.15058086466241713,0.02411090640049917,-0.5,1.0,0.6913569394876845
1,2000,7500,0.5,-0.04694126590142647,0.31754331845020256,0.06917662943985685,-0.05174491961548726,0.35518458900619604,0.06555747821255518,-0.00042109583218892413,0.1655306256169322,0.09188944006577185,0.08048093768656253,0.5963716691652934,0.08427010988422431,0.0023976003348827363,0.1246007133009533,0.02008745649742746,-0.5,1.0,0.6913569394876845
