run_id,sample_rate,total_abs_err,rmse,mape,stddev_pe,num_alts,num_choosers
1,0.1,367.93677,9.405012,0.8851814,-7.396387,200,750
1,0.2,212.77948,6.430794,0.41932374,-4.972723,200,750
1,0.3,146.10117,4.620443,0.2816954,-3.6097918,200,750
1,0.4,97.73732,3.0518305,0.17700452,-2.4478703,200,750
1,0.5,66.27693,2.3037279,0.11210512,-1.7894545,200,750
1,0.6,48.82236,1.6656594,0.070381925,-1.2629509,200,750
1,0.7,38.87566,1.2618436,0.051096383,-0.97336864,200,750
1,0.8,26.465748,0.7735713,0.032827895,-0.6012621,200,750
1,0.9,15.493455,0.4978962,0.017069554,-0.36489487,200,750
1,1.0,1.9176285e-05,5.9734487e-07,2.5149962e-08,0.0,200,750
1,0.1,1232.3457,10.060152,0.149986,-8.000836,2000,7500
1,0.2,711.44714,6.2668047,0.07954544,-5.0527115,2000,7500
1,0.3,480.8673,4.423228,0.05252842,-3.57296,2000,7500
1,0.4,353.6568,3.2679958,0.03617048,-2.6501427,2000,7500
1,0.5,241.6929,2.2700891,0.025429597,-1.8512402,2000,7500
1,0.6,172.70804,1.5921863,0.017871132,-1.3087463,2000,7500
1,0.7,115.15733,1.081158,0.012467159,-0.87919235,2000,7500
1,0.8,71.61928,0.67197853,0.0076722223,-0.5369091,2000,7500
1,0.9,34.080597,0.26437384,0.0038749573,-0.20719147,2000,7500
1,1.0,0.00025008537,1.1207693e-06,2.9502905e-08,-1.9073486e-06,2000,7500
1,0.1,1261.7755,0.95290715,0.014149489,-0.64261436,20000,75000
1,0.2,666.59076,0.46305883,0.007636174,-0.30241966,20000,75000
1,0.3,460.2294,0.27191263,0.0052721635,-0.17348862,20000,75000
1,0.4,337.21332,0.19302307,0.004005839,-0.11331177,20000,75000
1,0.5,253.79337,0.12119503,0.0031316085,-0.06748581,20000,75000
1,0.6,196.20467,0.07383043,0.0024975126,-0.035943985,20000,75000
1,0.7,149.41379,0.05248497,0.0019670099,-0.019346237,20000,75000
1,0.8,112.44334,0.03571426,0.0015031768,-0.012372971,20000,75000
1,0.9,75.66067,0.025706109,0.0009966547,-0.008239746,20000,75000
1,1.0,0.0015061222,6.5430027e-07,2.3945836e-08,0.0,20000,75000
1,0.1,3095.6191,0.5227251,0.0033159072,-0.36308098,200000,750000
1,0.2,1768.32,0.23557578,0.0020081154,-0.16113281,200000,750000
1,0.3,1269.2015,0.1345893,0.0014902145,-0.09304428,200000,750000
1,0.4,972.1597,0.09160777,0.0011752115,-0.061008453,200000,750000
1,0.5,776.84906,0.07167961,0.0009502112,-0.04391861,200000,750000
1,0.6,618.5895,0.05659302,0.0007689237,-0.032449722,200000,750000
1,0.7,488.92606,0.03787523,0.00061525893,-0.0211277,200000,750000
1,0.8,366.41708,0.022855833,0.0004673291,-0.010835648,200000,750000
1,0.9,238.79579,0.011278649,0.00031033962,-0.0029029846,200000,750000
1,1.0,0.0092802495,6.178619e-07,1.3192403e-08,-1.9073486e-06,200000,750000
