run_id,sample_rate,total_abs_err,rmse,mape,sd_pct_err,num_alts,num_choosers
2,0.8,351.60596,0.014395494,,-0.0041542053,200000,750000
2,0.9,239.25084,0.0113952635,,-0.0030021667,200000,750000
2,1.0,0.01581291,1.0510793e-06,,1.9073486e-06,200000,750000
3,0.1,403.74628,10.25009,1.3221726,-7.691264,200,750
3,0.2,260.4572,7.62261,0.56008744,-5.2702074,200,750
3,0.3,191.90752,5.859239,0.3381198,-4.029416,200,750
3,0.4,124.45084,3.6768916,0.20699656,-2.6287937,200,750
3,0.5,88.03418,2.8469014,0.13241333,-1.9624043,200,750
3,0.6,60.549004,1.9587524,0.084754534,-1.3946514,200,750
3,0.7,39.818707,1.3175666,0.054526493,-0.9275198,200,750
3,0.8,22.918322,0.7416112,0.027169542,-0.5050869,200,750
3,0.9,7.7558184,0.22536072,0.011629109,-0.152874,200,750
3,1.0,2.2668391e-05,1.1171189e-06,1.362306e-08,-1.9073486e-06,200,750
3,0.1,479.2317,1.9819801,0.06783319,-1.4061613,2000,7500
3,0.2,242.86414,0.88856506,0.03382107,-0.64305115,2000,7500
3,0.3,172.42145,0.59262925,0.022305064,-0.41508484,2000,7500
3,0.4,126.71308,0.39352483,0.015892176,-0.26427078,2000,7500
3,0.5,93.32238,0.28234634,0.012113516,-0.19002151,2000,7500
3,0.6,70.38562,0.18997347,0.009261034,-0.1236248,2000,7500
3,0.7,51.235565,0.14199482,0.0068902485,-0.08353329,2000,7500
3,0.8,38.70087,0.10456254,0.005051023,-0.057709694,2000,7500
3,0.9,23.36083,0.060792375,0.0032146678,-0.020359993,2000,7500
3,1.0,9.9315206e-05,4.7026265e-07,1.4048272e-08,9.536743e-07,2000,7500
3,0.1,1363.7566,1.5488408,0.014940888,-1.0802269,20000,75000
3,0.2,731.71454,0.808964,0.007918431,-0.53378296,20000,75000
3,0.3,489.58655,0.46454206,0.0053971475,-0.29945183,20000,75000
3,0.4,357.87204,0.30658963,0.004109514,-0.198143,20000,75000
3,0.5,270.47614,0.20165636,0.0031965736,-0.12882042,20000,75000
3,0.6,214.04568,0.14593315,0.0025683625,-0.09122658,20000,75000
3,0.7,161.32343,0.096892506,0.00200383,-0.06067276,20000,75000
3,0.8,124.62075,0.06619939,0.001517727,-0.039661407,20000,75000
3,0.9,78.18072,0.036607333,0.0009976767,-0.020929337,20000,75000
3,1.0,0.00094470923,4.808437e-07,1.4430088e-08,0.0,20000,75000
3,0.1,2866.5874,0.3716633,0.0031881228,-0.23845863,200000,750000
3,0.2,1675.9226,0.17662875,0.0019851087,-0.108572006,200000,750000
3,0.3,1218.5327,0.11196889,0.0014738053,-0.064819336,200000,750000
3,0.4,942.9654,0.07546997,0.0011664727,-0.04062462,200000,750000
3,0.5,760.1166,0.052938152,0.0009480058,-0.02895546,200000,750000
3,0.6,604.27216,0.036949765,0.0007663006,-0.018798828,200000,750000
3,0.7,476.2755,0.026076429,0.00061486324,-0.012960434,200000,750000
3,0.8,360.44614,0.017365968,0.00046878657,-0.008295059,200000,750000
3,0.9,236.74712,0.009958708,0.00031092757,-0.0034427643,200000,750000
3,1.0,0.015428221,9.926024e-07,2.0816884e-08,0.0,200000,750000
4,0.1,196.09512,3.3486009,0.35794246,-2.294726,200,750
4,0.2,110.06692,2.1232457,0.17261791,-1.3905311,200,750
4,0.3,72.751785,1.3431579,0.10101023,-0.8913946,200,750
4,0.4,43.97244,0.7238492,0.05862819,-0.4784708,200,750
4,0.5,32.271133,0.4798147,0.04586279,-0.31069946,200,750
4,0.6,23.152493,0.32706183,0.033760987,-0.20075512,200,750
4,0.7,17.747612,0.27052742,0.02534493,-0.16444206,200,750
4,0.8,11.782387,0.17905009,0.018360738,-0.08786774,200,750
4,0.9,7.612997,0.119899586,0.010487237,-0.0323925,200,750
4,1.0,7.079041e-06,1.8566853e-07,1.38544785e-08,0.0,200,750
4,0.1,1698.4983,10.064694,0.22029567,-8.619692,2000,7500
4,0.2,840.6074,5.078316,0.10518148,-4.448391,2000,7500
4,0.3,491.8933,3.0283375,0.060586117,-2.6535473,2000,7500
4,0.4,336.01703,2.126647,0.040360644,-1.8423233,2000,7500
4,0.5,238.39261,1.5061729,0.028236214,-1.3152256,2000,7500
4,0.6,157.93137,1.0074692,0.018215248,-0.85338783,2000,7500
4,0.7,107.963585,0.7155692,0.011873613,-0.5790634,2000,7500
4,0.8,64.25177,0.39600134,0.0072046923,-0.3271904,2000,7500
4,0.9,34.967384,0.19905767,0.003974883,-0.15750694,2000,7500
4,1.0,0.000115329065,1.3780334e-06,1.3913715e-08,0.0,2000,7500
4,0.1,1979.5787,2.831896,0.020397166,-2.1985455,20000,75000
4,0.2,1002.9684,1.4442888,0.010156718,-1.10075,20000,75000
4,0.3,626.18274,0.8575612,0.0064773783,-0.64723396,20000,75000
4,0.4,444.99408,0.58584565,0.0046681403,-0.43910408,20000,75000
4,0.5,320.85013,0.41413695,0.0034810004,-0.30041695,20000,75000
4,0.6,240.26639,0.26358038,0.0027174926,-0.19200706,20000,75000
4,0.7,169.10152,0.1634618,0.002067636,-0.10628128,20000,75000
4,0.8,123.97012,0.0821417,0.0015479387,-0.059030533,20000,75000
4,0.9,76.45059,0.043459415,0.0010065926,-0.023658752,20000,75000
4,1.0,0.0010687021,6.848063e-07,1.4276231e-08,0.0,20000,75000
4,0.1,2601.6162,0.21411392,,-0.13605118,200000,750000
4,0.2,1570.8041,0.10171684,,-0.060590744,200000,750000
4,0.3,1144.1661,0.0652404,,-0.035987854,200000,750000
4,0.4,898.60284,0.047950312,,-0.02453041,200000,750000
4,0.5,723.1883,0.03509151,,-0.01675415,200000,750000
4,0.6,579.76825,0.024596754,,-0.01064682,200000,750000
4,0.7,462.69363,0.021247484,,-0.00860405,200000,750000
4,0.8,349.8944,0.015205869,,-0.0047416687,200000,750000
4,0.9,234.59561,0.009036059,,-0.0014896393,200000,750000
4,1.0,0.014959859,9.594665e-07,,0.0,200000,750000
5,0.1,364.14304,7.726995,0.7761299,-5.6860094,200,750
5,0.2,189.58405,4.7590494,0.3159313,-3.3479872,200,750
5,0.3,109.987724,3.1707609,0.17854904,-2.189827,200,750
5,0.4,92.05471,2.5635846,0.14857134,-1.8141661,200,750
5,0.5,67.03945,1.9028546,0.10864561,-1.3309898,200,750
5,0.6,48.529377,1.3663907,0.07841459,-0.9894829,200,750
5,0.7,31.700443,0.96263003,0.04746068,-0.6389265,200,750
5,0.8,21.617613,0.6963615,0.028969236,-0.42337132,200,750
5,0.9,11.4512005,0.33992168,0.014733305,-0.20447254,200,750
5,1.0,2.2316937e-05,7.7611634e-07,1.7339305e-08,0.0,200,750
5,0.1,1275.7749,11.163951,0.14737639,-8.986195,2000,7500
5,0.2,771.7007,7.0802402,0.08174236,-5.8575764,2000,7500
5,0.3,459.35974,4.386348,0.048073422,-3.6746635,2000,7500
5,0.4,307.2807,2.8744743,0.032007452,-2.4331722,2000,7500
5,0.5,212.57646,1.9227467,0.0215155,-1.6427498,2000,7500
5,0.6,131.47893,1.1438813,0.013738192,-0.98197746,2000,7500
5,0.7,91.4645,0.8611952,0.00988648,-0.7238064,2000,7500
5,0.8,55.013466,0.46166593,0.0063175377,-0.3904209,2000,7500
5,0.9,33.921013,0.28282398,0.003782621,-0.23026085,2000,7500
5,1.0,6.901178e-05,2.5226055e-07,1.3438187e-08,0.0,2000,7500
5,0.1,1660.1472,2.8501468,0.017994387,-1.9999924,20000,75000
5,0.2,860.41077,1.504976,0.009048326,-1.0305614,20000,75000
5,0.3,583.7312,0.8930822,0.0061623915,-0.62932205,20000,75000
5,0.4,406.07965,0.51422685,0.004438755,-0.36883545,20000,75000
5,0.5,299.86758,0.33022714,0.0033727342,-0.23645592,20000,75000
5,0.6,224.96284,0.2346888,0.0026328727,-0.163414,20000,75000
5,0.7,170.45578,0.14911608,0.0020476931,-0.10513687,20000,75000
5,0.8,125.17064,0.09425467,0.0015495139,-0.06615639,20000,75000
5,0.9,75.62117,0.032486048,0.0009945667,-0.02178955,20000,75000
5,1.0,0.0010545533,5.932342e-07,1.42487755e-08,0.0,20000,75000
5,0.1,2836.9475,0.32346,0.0031859903,-0.22426605,200000,750000
