sample_rate,total_abs_err,rmse,mape,sd_pct_err,num_alts,num_choosers,scale,run_id,pct_abs_err
0.1,2071.80029296875,0.015173537656664848,0.0027616790030151606,1.803516352083534e-05,200000,750000.0,0.25,1,0.002762400390625
0.2,1382.679931640625,0.010133513249456882,0.0018437098478898406,9.382455573359039e-06,200000,750000.0,0.25,1,0.0018435732421875
0.3,1056.785888671875,0.007740580476820469,0.001409065444022417,5.837971912114881e-06,200000,750000.0,0.25,1,0.0014090478515625
0.4,847.0989990234375,0.0061980243772268295,0.0011299545876681805,6.254970230656909e-07,200000,750000.0,0.25,1,0.00112946533203125
0.5,692.596435546875,0.005066706798970699,0.0009237851481884718,4.899726718576858e-06,200000,750000.0,0.25,1,0.0009234619140625
0.6,564.145751953125,0.004140018951147795,0.0007516696350648999,2.3977386263140943e-06,200000,750000.0,0.25,1,0.0007521943359375
0.7,453.3355407714844,0.0033244278747588396,0.0006045344634912908,4.48272840003483e-06,200000,750000.0,0.25,1,0.0006044473876953125
0.8,346.2004699707031,0.00253123021684587,0.0004620766849257052,3.5444829791231314e-06,200000,750000.0,0.25,1,0.0004616006266276042
0.9,230.5987091064453,0.0016921560745686293,0.00030756407068111,3.6487324450718006e-06,200000,750000.0,0.25,1,0.00030746494547526044
1.0,0.0,0.0,0.0,0.0,200000,750000.0,0.25,1,0.0
0.1,2080.213623046875,0.023205015808343887,0.002767216879874468,0.00026799453189596534,200000,750000.0,0.5,1,0.0027736181640625
0.2,1387.6673583984375,0.01549598854035139,0.0018467734334990382,0.0001439553452655673,200000,750000.0,0.5,1,0.00185022314453125
0.3,1063.12109375,0.012234954163432121,0.0014109984040260315,0.00010543331154622138,200000,750000.0,0.5,1,0.0014174947916666667
0.4,851.8347778320312,0.0099310502409935,0.0011316313175484538,8.569186320528388e-05,200000,750000.0,0.5,1,0.0011357797037760417
0.5,696.066650390625,0.008100644685328007,0.0009248499991372228,6.263105751713738e-05,200000,750000.0,0.5,1,0.0009280888671875
0.6,564.9566040039062,0.006396075244992971,0.0007525157416239381,4.5597505959449336e-05,200000,750000.0,0.5,1,0.0007532754720052083
0.7,454.0845031738281,0.00508540915325284,0.000605353678110987,2.55940012721112e-05,200000,750000.0,0.5,1,0.0006054460042317708
0.8,347.01104736328125,0.0038981460966169834,0.0004626464215107262,3.1271851185010746e-05,200000,750000.0,0.5,1,0.000462681396484375
0.9,230.10504150390625,0.0025335997343063354,0.00030793697806075215,6.988123459450435e-06,200000,750000.0,0.5,1,0.00030680672200520835
1.0,0.0,0.0,0.0,0.0,200000,750000.0,0.5,1,0.0
0.1,2145.801025390625,0.06283649802207947,0.002798723056912422,0.0024344059638679028,200000,750000.0,0.75,1,0.0028610680338541665
0.2,1392.314208984375,0.03272359445691109,0.0018570475513115525,0.0009237679769285023,200000,750000.0,0.75,1,0.0018564189453125
0.3,1066.2611083984375,0.023795947432518005,0.0014167395420372486,0.0005437321960926056,200000,750000.0,0.75,1,0.0014216814778645834
0.4,848.5,0.018121354281902313,0.0011356163304299116,0.00037207434070296586,200000,750000.0,0.75,1,0.0011313333333333334
0.5,693.8585815429688,0.014093420468270779,0.0009278225479647517,0.00015963451005518436,200000,750000.0,0.75,1,0.000925144775390625
0.6,567.0858764648438,0.011540607549250126,0.0007549852598458529,0.00016320902795996517,200000,750000.0,0.75,1,0.000756114501953125
0.7,456.29461669921875,0.009507234208285809,0.0006069388473406434,9.992389823310077e-05,200000,750000.0,0.75,1,0.000608392822265625
0.8,348.73895263671875,0.007304696831852198,0.00046383109292946756,7.750195072731003e-05,200000,750000.0,0.75,1,0.00046498527018229164
0.9,229.92971801757812,0.004545047413557768,0.000308710295939818,2.8108672267990187e-05,200000,750000.0,0.75,1,0.0003065729573567708
1.0,0.0,0.0,0.0,0.0,200000,750000.0,0.75,1,0.0
0.1,2818.260009765625,0.3889792561531067,0.0031251476611942053,0.011288951151072979,200000,750000.0,1.0,1,0.0037576800130208333
0.2,1665.021240234375,0.17555396258831024,0.001970054814592004,0.005079445894807577,200000,750000.0,1.0,1,0.0022200283203125
0.3,1206.6285400390625,0.10723178833723068,0.0014719972386956215,0.0029668721836060286,200000,750000.0,1.0,1,0.0016088380533854168
0.4,931.0443725585938,0.061677031219005585,0.001162832137197256,0.0016602687537670135,200000,750000.0,1.0,1,0.0012413924967447916
0.5,748.51513671875,0.04920346662402153,0.000945816864259541,0.0012280386872589588,200000,750000.0,1.0,1,0.0009980201822916666
0.6,599.018310546875,0.039929118007421494,0.0007664759177714586,0.0010044060181826353,200000,750000.0,1.0,1,0.0007986910807291667
0.7,474.8117370605469,0.030056707561016083,0.0006138468743301928,0.0006922123720869422,200000,750000.0,1.0,1,0.0006330823160807292
0.8,361.6300048828125,0.022720584645867348,0.00046767794992774725,0.0005041856784373522,200000,750000.0,1.0,1,0.00048217333984375
0.9,242.257568359375,0.013922855257987976,0.0003106545191258192,0.0002712176938075572,200000,750000.0,1.0,1,0.0003230100911458333
1.0,0.0,0.0,0.0,0.0,200000,750000.0,1.0,1,0.0
0.1,10827.1982421875,3.3361406326293945,0.010543332435190678,0.04654936119914055,200000,750000.0,1.25,1,0.014436264322916666
0.2,4991.69873046875,1.5328152179718018,0.004795107524842024,0.021402500569820404,200000,750000.0,1.25,1,0.0066555983072916665
0.3,2992.541259765625,0.8919183015823364,0.0028364029712975025,0.0125155970454216,200000,750000.0,1.25,1,0.003990055013020834
0.4,2035.2528076171875,0.5935443639755249,0.0019310320494696498,0.00829790998250246,200000,750000.0,1.25,1,0.00271367041015625
